catalog_index,catalog_id,material_no,master_category,name,category,thickness_mm,weight_kg_m2,ra_dba,source_ref,r_63_hz,r_125_hz,r_250_hz,r_500_hz,r_1000_hz,r_2000_hz,spectrum_ok,supplier,phone,buildup,cavity_fill,laminate,glass_t1_mm,glass_cavity_mm,glass_t2_mm,rqa_dba,c_dm3_s,dna_dba,height_mm,depth_mm,length_mm,sh_mm,doorlaat_m2_m,source
10,D00128,128,Elementen,ME 1: Enkelvoudige s...,,0.0,100.0,37.6,Verkeerslawaai en w...,29.0,32.0,35.0,36.0,40.0,46.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
11,D00129,129,Elementen,ME 2: Enkelvoudige s...,,0.0,200.0,40.4,Verkeerslawaai en w...,25.0,35.0,40.0,43.0,48.0,53.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
12,D00130,130,Elementen,ME 3: Enkelvoudige s...,,0.0,400.0,46.2,Verkeerslawaai en w...,31.0,41.0,44.0,49.0,54.0,58.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
13,D00131,131,Elementen,ME 4: Enkelvoudige s...,,0.0,600.0,48.7,Verkeerslawaai en w...,33.0,43.0,48.0,53.0,57.0,60.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
14,D00132,132,Elementen,ME 5: Enkelvoudige s...,,0.0,115.0,41.1,Verkeerslawaai en w...,26.0,33.0,40.0,46.0,51.0,57.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
15,D00133,133,Elementen,MS 1: Steenachtige s...,,0.0,100.0,40.6,Verkeerslawaai en w...,29.0,33.0,37.0,41.0,46.0,52.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
16,D00134,134,Elementen,MS 2: Steenachtige s...,,0.0,200.0,42.6,Verkeerslawaai en w...,27.0,37.0,41.0,46.0,52.0,59.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
17,D00135,135,Elementen,MS 3: Steenachtige s...,,0.0,400.0,47.0,Verkeerslawaai en w...,31.0,41.0,46.0,52.0,59.0,64.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
18,D00136,136,Elementen,MS 4: Steenachtige s...,,0.0,600.0,49.3,Verkeerslawaai en w...,33.0,43.0,50.0,57.0,62.0,66.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
19,D00137,137,Elementen,MS 5: Metselwerk - is...,,0.0,200.0,42.1,Verkeerslawaai en w...,26.0,36.0,42.0,47.0,53.0,60.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
20,D00138,138,Elementen,Grindbeton 80 mm [2],,80.0,180.0,39.6,Meetrapporten,24.0,34.0,39.0,43.0,48.0,52.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
21,D00139,139,Elementen,Grindbeton 100 mm [2],,100.0,230.0,41.3,Meetrapporten,26.0,36.0,40.0,44.0,49.0,54.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
22,D00140,140,Elementen,Grindbeton 150 mm [2],,150.0,350.0,44.3,Meetrapporten,29.0,39.0,43.0,47.0,52.0,57.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
23,D00141,141,Elementen,Grindbeton 200 mm [2],,200.0,460.0,45.5,Meetrapporten,30.0,40.0,44.0,49.0,54.0,58.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
24,D00142,142,Elementen,Gasbeton. massief 9...,,90.0,75.0,30.5,Meetrapporten,20.0,25.0,30.0,30.0,32.0,37.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
25,D00143,143,Elementen,Gasbeton. massief 1...,,150.0,120.0,34.3,Meetrapporten,29.0,30.0,30.0,32.0,37.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
26,D00158,158,Elementen,3 resoplan/60 steenw...,,66.0,18.0,20.8,TPD iov VROM 1984...,20.8,20.9,21.0,14.8,30.3,40.9,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
27,D00159,159,Elementen,4 multiplex/15 PVC s...,,23.0,5.0,19.6,TPD iov VROM 1984...,14.4,16.1,16.1,19.5,22.5,20.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
28,D00160,160,Elementen,4 multipl./30 pvc-sch...,,38.0,7.0,19.9,TPD iov VROM 1984...,11.3,14.6,16.9,21.3,20.9,24.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
29,D00161,161,Elementen,3 resopl./50 steenw./...,,56.0,17.0,21.5,TPD iov VROM 1984...,21.5,21.1,20.7,15.6,30.5,40.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
30,D00162,162,Elementen,3 trespa/50 ps-schui...,,56.0,10.0,20.6,TPD iov VROM 1984...,17.6,19.1,20.2,22.2,18.5,31.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
31,D00163,163,Elementen,4 montapl./40 ps-sch...,,48.0,7.0,21.1,TPD iov VROM 1984...,13.9,16.8,17.5,22.6,26.4,20.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
32,D00164,164,Elementen,3 resop./60 stw. hout...,,66.0,21.0,22.7,TPD iov VROM 1984...,20.5,21.7,22.9,16.9,30.1,40.5,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
33,D00165,165,Elementen,4 eflex/45 steenw./4 ...,,53.0,21.0,23.1,TPD iov VROM 1984...,22.9,22.6,22.3,17.1,37.0,44.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
34,D00166,166,Elementen,4 montapl./50 pur-sch...,,58.0,8.0,22.2,TPD iov VROM 1984...,13.8,17.0,18.6,23.4,28.4,21.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
35,D00167,167,Elementen,4 eflex/60 steenw./4 g...,,68.0,23.0,23.5,TPD iov VROM 1984...,26.5,23.7,19.8,18.1,35.5,46.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
36,D00168,168,Elementen,3 trespa/80 steenw./3...,,86.0,18.0,22.7,TPD iov VROM 1984...,14.9,18.7,14.2,26.4,40.8,55.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
37,D00169,169,Elementen,3 trespa/40 steenw./3...,,46.0,13.0,22.4,TPD iov VROM 1984...,12.4,17.7,14.2,28.3,41.6,53.8,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
38,D00170,170,Elementen,3 trespa/ 40 ps-schui...,,46.0,9.0,22.3,TPD iov VROM 1984...,14.5,17.8,19.8,24.5,28.7,20.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
39,D00171,171,Elementen,4 eflex/80 steenw./4 g...,,88.0,27.0,24.0,TPD iov VROM 1984...,24.2,24.5,24.8,17.9,32.4,43.8,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
40,D00172,172,Elementen,4 montapl./40 pur-sch...,,48.0,8.0,22.6,TPD iov VROM 1984...,14.4,17.5,18.5,23.7,28.9,22.6,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
41,D00173,173,Elementen,4 eflex/40 ps-schuim/...,,48.0,14.0,22.6,TPD iov VROM 1984...,17.2,20.4,23.1,26.8,20.1,43.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
42,D00174,174,Elementen,3 trespa/60 steenw./3...,,66.0,16.0,22.5,TPD iov VROM 1984...,10.0,16.3,15.4,29.0,41.2,56.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
43,D00175,175,Elementen,3 resopl./80 steenw./...,,86.0,20.0,24.4,TPD iov VROM 1984...,24.6,25.1,25.6,18.7,29.2,39.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
44,D00176,176,Elementen,6 trespa/40 steenw./6...,,52.0,22.0,23.5,TPD iov VROM 1984...,15.4,21.8,14.4,34.7,42.3,53.6,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
45,D00177,177,Elementen,4 eflex/50 ps-schuim/...,,58.0,15.0,23.4,TPD iov VROM 1984...,18.6,21.7,23.9,27.9,20.8,37.5,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
46,D00178,178,Elementen,8 montapl./40 ps-sch...,,56.0,12.0,23.5,TPD iov VROM 1984...,17.1,20.1,21.5,26.1,25.8,22.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
47,D00179,179,Elementen,6 trespa/40 ps-schui...,,52.0,18.0,23.9,TPD iov VROM 1984...,19.6,23.0,25.5,29.8,21.1,35.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
48,D00180,180,Elementen,6 trespa/50 ps-schui...,,62.0,19.0,24.1,TPD iov VROM 1984...,20.2,23.1,25.1,29.0,21.3,38.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
49,D00181,181,Elementen,3 trespa/30 pur-schui...,,36.0,10.0,24.3,TPD iov VROM 1984...,15.8,19.1,20.6,25.7,30.9,23.6,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
50,D00182,182,Elementen,6 trespa/60 steenw./6...,,72.0,24.0,24.5,TPD iov VROM 1984...,13.6,20.4,16.2,34.0,44.4,54.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
51,D00183,183,Elementen,3 trespa/50 pur-schui...,,56.0,11.0,24.8,TPD iov VROM 1984...,16.9,20.1,21.0,26.6,30.9,23.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
52,D00184,184,Elementen,8 montapl./40 pur-sch...,,56.0,12.0,24.8,TPD iov VROM 1984...,16.6,20.1,22.0,27.1,31.6,22.9,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
53,D00185,185,Elementen,3 trespa/40 pur-schui...,,46.0,10.0,24.9,TPD iov VROM 1984...,15.9,19.4,22.2,26.4,31.2,24.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
54,D00186,186,Elementen,2 aluminium/40 steen...,,44.0,18.0,26.4,TPD iov VROM 1984...,30.8,27.5,23.1,20.9,35.8,47.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
55,D00187,187,Elementen,8 montapl./50 pur-sch...,,66.0,13.0,25.3,TPD iov VROM 1984...,17.4,20.8,22.5,27.6,31.8,23.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
56,D00188,188,Elementen,2*4 monta.(#)/50 pur-...,,67.0,14.0,25.7,TPD iov VROM 1984...,18.1,21.4,23.0,28.0,31.9,23.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
57,D00189,189,Elementen,3.2 eflex/40 foamglas...,glas,46.0,19.0,26.1,TPD iov VROM 1984...,18.6,20.8,22.0,25.3,28.3,35.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
58,D00190,190,Elementen,4 eflex/50 pur-schuim...,,58.0,16.0,25.8,TPD iov VROM 1984...,17.8,21.5,24.6,29.0,25.5,28.6,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
59,D00191,191,Elementen,3.2 glasal/30 pur-sch...,glas,36.0,14.0,25.9,TPD iov VROM 1984...,16.8,20.8,24.0,28.9,33.4,23.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
60,D00192,192,Elementen,3 trespa/50 kurk/3 tre...,,56.0,15.0,26.2,TPD iov VROM 1984...,18.6,21.7,23.7,27.9,25.6,35.5,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
61,D00193,193,Elementen,4 montapl./45 kurk/4 ...,,53.0,13.0,26.1,TPD iov VROM 1984...,16.4,20.2,22.7,27.8,30.6,27.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
62,D00194,194,Elementen,4 eflex/30 pur-schuim...,,38.0,14.0,25.9,TPD iov VROM 1984...,15.5,20.1,24.4,29.4,33.4,24.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
63,D00195,195,Elementen,2 staal/50 steenw./2 s...,,54.0,39.0,26.9,TPD iov VROM 1984...,20.0,26.4,17.6,39.3,46.7,57.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
64,D00196,196,Elementen,4 eflex/40 pur-schuim...,,48.0,15.0,26.4,TPD iov VROM 1984...,16.8,20.7,23.9,28.6,32.9,25.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
65,D00197,197,Elementen,2 staal(#)/50 steenw./...,,54.0,39.0,26.8,TPD iov VROM 1984...,18.1,25.7,17.7,40.9,48.7,58.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
66,D00198,198,Elementen,8 morgomat/40 steen...,,56.0,32.0,27.5,TPD iov VROM 1984...,24.1,25.3,19.1,27.8,42.2,51.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
67,D00199,199,Elementen,6 trespa/40 pur-schui...,,52.0,18.0,26.7,TPD iov VROM 1984...,19.4,23.1,26.0,30.5,25.7,30.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
68,D00200,200,Elementen,4 montapl./40 ps-sch...,,62.0,16.0,26.9,TPD iov VROM 1984...,18.9,22.2,24.5,28.8,29.3,26.8,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
69,D00201,201,Elementen,16 etersp./50 steenw...,,82.0,38.0,27.4,TPD iov VROM 1984...,20.3,26.2,18.2,38.1,44.9,41.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
70,D00202,202,Elementen,3.2 eflex/80 foamglas...,glas,86.0,23.0,26.7,TPD iov VROM 1984...,14.7,19.0,23.3,26.9,33.5,40.5,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
71,D00203,203,Elementen,3.2 glasal/65 kurk/3.2...,glas,71.0,21.0,26.7,TPD iov VROM 1984...,18.6,22.5,26.2,30.3,25.1,37.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
72,D00204,204,Elementen,3 trespa/60 geexp.kur...,,66.0,17.0,27.3,TPD iov VROM 1984...,18.9,22.2,24.9,28.8,27.7,31.6,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
73,D00205,205,Elementen,4 eflex/60 kurk/4 efle...,,68.0,22.0,27.4,TPD iov VROM 1984...,20.9,23.5,25.6,28.7,26.6,35.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
74,D00206,206,Elementen,.75 staal #/40 foamgl...,,42.0,17.0,27.6,TPD iov VROM 1984...,18.2,21.5,23.3,28.2,31.3,32.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
75,D00207,207,Elementen,4 montapl./40 pur-sch...,,62.0,17.0,27.7,TPD iov VROM 1984...,19.4,22.8,24.5,29.6,31.4,27.5,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
76,D00208,208,Elementen,2 alu. #/65 kurk/2 alu....,,69.0,20.0,27.6,TPD iov VROM 1984...,19.6,23.1,25.7,30.2,27.2,32.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
77,D00209,209,Elementen,6 trespa/80 steenwol/...,,92.0,26.0,25.0,TPD iov VROM 1984...,9.5,17.4,22.6,33.2,48.1,58.9,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
78,D00210,210,Elementen,2 alu. nat./80 foamgla...,,84.0,22.0,28.1,TPD iov VROM 1984...,19.3,21.9,24.4,27.1,31.1,36.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
79,D00211,211,Elementen,8 montapl./50 steenw...,,66.0,15.0,21.9,TPD iov VROM 1984...,5.0,15.8,26.2,37.4,43.3,36.8,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
80,D00212,212,Elementen,4 eflex/50 kurk/4 glas...,glas,58.0,21.0,27.7,TPD iov VROM 1984...,20.1,23.5,26.5,30.3,26.4,38.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
81,D00213,213,Elementen,3 trespa/40 geexp.kur...,,46.0,15.0,28.0,TPD iov VROM 1984...,19.8,22.8,24.1,28.8,32.4,28.6,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
82,D00214,214,Elementen,6 trespa/30 pur-schui...,,42.0,18.0,27.7,TPD iov VROM 1984...,19.0,23.0,26.5,31.0,35.0,25.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
83,D00215,215,Elementen,9.5 gi.ka.p./40 foamgl...,,59.0,20.0,28.1,TPD iov VROM 1984...,20.7,23.4,24.9,28.9,28.5,35.4,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
84,D00216,216,Elementen,2 alu. nat./40 foamgla...,,42.0,17.0,28.2,TPD iov VROM 1984...,19.4,22.5,23.9,28.7,31.5,32.4,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
85,D00217,217,Elementen,2*4 montapl.#/50 ste...,,66.0,15.0,20.8,TPD iov VROM 1984...,3.6,15.6,27.2,39.6,46.3,44.8,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
86,D00218,218,Elementen,4 eflex/40 kurk/4 glas...,glas,48.0,18.0,28.0,TPD iov VROM 1984...,18.4,22.3,24.6,30.1,33.2,28.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
87,D00219,219,Elementen,0.75 staal#/80 foamgl...,,82.0,22.0,28.4,TPD iov VROM 1984...,19.1,22.0,23.8,27.9,32.6,38.6,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
88,D00220,220,Elementen,4 montapl./50 pur-sch...,,72.0,18.0,28.2,TPD iov VROM 1984...,19.8,23.2,25.5,30.0,31.2,28.4,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
89,D00221,221,Elementen,9.5 gi.ka.p./80 foamgl...,,99.0,25.0,28.7,TPD iov VROM 1984...,20.6,22.8,25.0,26.7,32.4,39.9,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
90,D00222,222,Elementen,6 trespa/50 pur-schui...,,62.0,19.0,28.3,TPD iov VROM 1984...,20.8,24.1,26.7,30.8,31.9,26.6,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
91,D00223,223,Elementen,6 trespa/50 geexp.kur...,,62.0,22.0,28.4,TPD iov VROM 1984...,22.3,25.1,27.7,30.7,26.5,45.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
92,D00224,224,Elementen,8 montapl./45 kurk/8 ...,,61.0,18.0,28.3,TPD iov VROM 1984...,19.2,22.9,25.5,30.3,31.0,29.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
93,D00225,225,Elementen,2*4 montapl.#/45 kur...,,61.0,19.0,28.3,TPD iov VROM 1984...,19.2,23.0,25.9,30.6,28.9,32.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
94,D00226,226,Elementen,6 trespa/60 geexp.kur...,,72.0,26.0,29.1,TPD iov VROM 1984...,22.2,25.3,28.2,31.5,27.5,43.5,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
95,D00227,227,Elementen,6 trespa/40 geexp.kur...,,52.0,22.0,29.4,TPD iov VROM 1984...,21.9,25.1,26.7,31.6,29.4,33.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
96,D00228,228,Elementen,3.2 eflex#/80 foamgla...,,87.0,32.0,29.6,TPD iov VROM 1984...,19.7,22.9,26.1,28.3,34.3,40.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
97,D00229,229,Elementen,2*4 monta.#/50 pur-s...,,72.0,21.0,29.4,TPD iov VROM 1984...,20.9,24.3,26.9,31.1,32.5,29.5,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
98,D00230,230,Elementen,3.2 eflex#/40 foamgla...,,47.0,26.0,29.7,TPD iov VROM 1984...,19.7,23.2,25.9,30.3,32.7,36.8,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
99,D00231,231,Elementen,4 montapl./45 kurk/18...,,67.0,22.0,29.8,TPD iov VROM 1984...,20.4,24.2,27.2,31.8,31.6,32.4,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
100,D00232,232,Elementen,1 sendz.v.st./80 f.g./1...,,82.0,27.0,30.2,TPD iov VROM 1984...,20.5,23.9,26.4,30.7,32.6,38.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
101,D00233,233,Elementen,1 sendz.v.st./40 f.g./1...,,42.0,23.0,30.9,TPD iov VROM 1984...,21.5,24.7,26.2,31.1,35.0,36.8,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
102,D00234,234,Elementen,2 staalpl.#/65 kurk/2 ...,,69.0,39.0,31.1,TPD iov VROM 1984...,25.3,28.6,31.9,33.6,28.8,53.6,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
103,D00235,235,Elementen,6 eflex/40 foamglas/6...,glas,52.0,30.0,31.3,TPD iov VROM 1984...,21.6,25.1,27.3,32.2,34.5,36.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
104,D00236,236,Elementen,8 morgomat/40 pur-s...,,56.0,25.0,31.6,TPD iov VROM 1984...,29.3,30.9,31.4,34.1,29.1,46.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
105,D00237,237,Elementen,6 eflex/80 foamglas/6...,glas,92.0,35.0,32.2,TPD iov VROM 1984...,26.9,27.9,28.8,29.9,34.2,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
106,D00238,238,Elementen,10 monta.#/50 pur-sc...,,70.0,32.0,31.2,TPD iov VROM 1984...,21.2,26.3,31.4,36.1,31.1,33.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
107,D00239,239,Elementen,2 staalp.#/30 pur-sch...,,34.0,33.0,32.3,TPD iov VROM 1984...,23.9,27.3,30.4,34.2,31.6,49.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
108,D00240,240,Elementen,3 eternit#/12 lucht/5 e...,,29.0,27.0,31.1,TPD iov VROM 1984...,16.9,23.3,29.7,32.7,41.1,43.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
109,D00241,241,Elementen,10 monta.#/50 pur-sc...,,70.0,34.0,32.5,TPD iov VROM 1984...,22.6,27.0,31.4,34.4,32.5,40.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
110,D00242,242,Elementen,10 montapl.#/45 kurk/...,,65.0,37.0,32.8,TPD iov VROM 1984...,24.4,28.2,32.0,34.8,31.6,46.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
111,D00243,243,Elementen,10 montapl.#/45 kurk...,,65.0,37.0,33.1,TPD iov VROM 1984...,25.0,28.5,32.0,35.1,31.9,46.5,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
112,D00244,244,Elementen,8 morgomat/30 pur-s...,,46.0,23.0,33.8,TPD iov VROM 1984...,27.9,30.4,31.5,35.4,37.9,32.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
113,D00245,245,Elementen,8 morgomat/40 kurk/8...,,56.0,26.0,34.1,TPD iov VROM 1984...,31.0,32.0,31.9,34.1,32.9,47.4,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
114,D00246,246,Elementen,10 monta.#/50 steen...,,70.0,33.0,20.0,TPD iov VROM 1984...,2.2,21.0,39.8,44.8,51.1,42.2,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
115,D00247,247,Elementen,2 sendz.v.st.#/40 f.g./...,,44.0,38.0,34.2,TPD iov VROM 1984...,24.5,27.8,29.2,34.5,39.1,41.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
116,D00248,248,Elementen,3 eternit#/12 lucht/5 e...,,69.0,28.0,32.0,TPD iov VROM 1984...,17.0,23.9,30.8,37.1,44.3,44.5,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
117,D00249,249,Elementen,2 sendz.v.st./40 f.g./2...,,44.0,37.0,34.9,TPD iov VROM 1984...,25.5,28.8,30.2,35.5,38.4,40.9,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
118,D00250,250,Elementen,2 sendz.v.st#/80 f.g./...,,84.0,42.0,35.3,TPD iov VROM 1984...,26.3,29.0,30.6,34.5,40.0,45.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
119,D00251,251,Elementen,10 montap.#/50 steen...,,70.0,33.0,25.7,TPD iov VROM 1984...,8.2,23.5,38.8,42.8,47.5,35.9,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
120,D00252,252,Elementen,2 sendz.v.st./80 f.g./2...,,84.0,42.0,35.4,TPD iov VROM 1984...,25.3,28.8,31.7,35.9,38.2,43.1,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
121,D00253,253,Elementen,5 eternit#/12 lucht/5 e...,,22.0,22.0,32.9,TPD iov VROM 1984...,16.5,25.8,35.1,44.5,48.4,47.7,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
122,D00254,254,Elementen,5 eternit #/12 lucht/9 ...,,26.0,23.0,34.7,TPD iov VROM 1984...,18.6,27.3,34.6,44.7,49.6,48.3,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
123,D00255,255,Elementen,Dak:50 wol/gesloten ...,,150.0,25.0,34.0,TPD iov DGMR 1983...,19.0,26.5,30.5,41.5,49.5,58.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
124,D00256,256,Elementen,Dak:50 wol/geperf 10...,,150.0,25.0,29.9,TPD iov DGMR 1983...,19.8,23.5,24.5,31.0,34.0,54.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
125,D00257,257,Elementen,Dak:50 PS/geperf 10...,,150.0,25.0,27.1,TPD iov DGMR 1983...,26.5,25.5,23.0,23.5,30.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
